"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 00:27:12","7941f509fee6","hdfs-spark-hive-docker-history-1","0.37%","1022MiB / 23.47GiB","4.25%","14.2MB / 1.2MB","0B / 0B","102"
"2025-03-12 00:27:12","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.36%","1.754GiB / 23.47GiB","7.47%","687MB / 368MB","0B / 0B","238"
"2025-03-12 00:27:12","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","1.03%","1.806GiB / 23.47GiB","7.69%","687MB / 418MB","0B / 0B","237"
"2025-03-12 00:27:12","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.77%","2.079GiB / 23.47GiB","8.86%","30.4MB / 632MB","0B / 0B","385"
"2025-03-12 00:27:12","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.71MiB / 23.47GiB","0.26%","2.79MB / 2.81MB","0B / 0B","27"
"2025-03-12 00:27:12","ALL","All Containers","4.53%","1,089.35 MB","5.71%","0 MB / 0 MB","0 MB / 0 MB","989"
"2025-03-12 00:27:22","7941f509fee6","hdfs-spark-hive-docker-history-1","0.22%","1022MiB / 23.47GiB","4.25%","14.2MB / 1.2MB","0B / 0B","100"
"2025-03-12 00:27:22","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.50%","1.755GiB / 23.47GiB","7.47%","687MB / 368MB","0B / 0B","238"
"2025-03-12 00:27:22","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.63%","1.806GiB / 23.47GiB","7.69%","687MB / 418MB","0B / 0B","238"
"2025-03-12 00:27:22","a3d3766552e1","hdfs-spark-hive-docker-master-1","255.99%","2.387GiB / 23.47GiB","10.17%","30.4MB / 632MB","0B / 0B","457"
"2025-03-12 00:27:22","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.04%","61.71MiB / 23.47GiB","0.26%","2.79MB / 2.81MB","0B / 0B","27"
"2025-03-12 00:27:22","ALL","All Containers","258.38%","1,089.66 MB","5.97%","0 MB / 0 MB","0 MB / 0 MB","1060"
"2025-03-12 00:27:33","7941f509fee6","hdfs-spark-hive-docker-history-1","0.11%","1022MiB / 23.47GiB","4.25%","14.2MB / 1.2MB","0B / 0B","100"
"2025-03-12 00:27:33","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","169.36%","2.259GiB / 23.47GiB","9.62%","690MB / 368MB","0B / 0B","316"
"2025-03-12 00:27:33","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","11.69%","2.082GiB / 23.47GiB","8.87%","690MB / 421MB","0B / 0B","294"
"2025-03-12 00:27:33","a3d3766552e1","hdfs-spark-hive-docker-master-1","229.36%","2.716GiB / 23.47GiB","11.57%","30.5MB / 635MB","0B / 0B","483"
"2025-03-12 00:27:33","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","70.24MiB / 23.47GiB","0.29%","2.87MB / 2.89MB","0B / 0B","31"
"2025-03-12 00:27:33","ALL","All Containers","410.52%","1,099.30 MB","6.92%","0 MB / 0 MB","0 MB / 0 MB","1224"
"2025-03-12 00:27:44","7941f509fee6","hdfs-spark-hive-docker-history-1","0.15%","1022MiB / 23.47GiB","4.25%","14.3MB / 1.2MB","0B / 0B","100"
"2025-03-12 00:27:44","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","157.98%","2.573GiB / 23.47GiB","10.96%","691MB / 368MB","0B / 0B","328"
"2025-03-12 00:27:44","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","18.54%","1.809GiB / 23.47GiB","7.71%","691MB / 421MB","0B / 0B","246"
"2025-03-12 00:27:44","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.91%","2.087GiB / 23.47GiB","8.89%","31.1MB / 637MB","0B / 0B","389"
"2025-03-12 00:27:44","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.71MiB / 23.47GiB","0.26%","2.9MB / 2.94MB","0B / 0B","27"
"2025-03-12 00:27:44","ALL","All Containers","178.58%","1,090.18 MB","6.41%","0 MB / 0 MB","0 MB / 0 MB","1090"
