id,name,start_time,launch_time,finish_time,runtime_seconds
application_1741747991273_0018,Test5MB_Window_32,Wed Mar 12 00:41:37 -0700 2025,Wed Mar 12 00:41:37 -0700 2025,Wed Mar 12 00:41:52 -0700 2025,15.0
application_1741747991273_0017,Test5MB_Window_16,Wed Mar 12 00:40:46 -0700 2025,Wed Mar 12 00:40:46 -0700 2025,Wed Mar 12 00:41:01 -0700 2025,15.0
application_1741747991273_0016,Test5MB_Window_4,Wed Mar 12 00:38:50 -0700 2025,Wed Mar 12 00:38:51 -0700 2025,Wed Mar 12 00:39:05 -0700 2025,15.0
application_1741747991273_0015,Test5MB_Join_32,Wed Mar 12 00:38:02 -0700 2025,Wed Mar 12 00:38:02 -0700 2025,Wed Mar 12 00:38:18 -0700 2025,16.0
application_1741747991273_0014,Test5MB_Join_16,Wed Mar 12 00:37:11 -0700 2025,Wed Mar 12 00:37:12 -0700 2025,Wed Mar 12 00:37:27 -0700 2025,16.0
application_1741747991273_0013,Test5MB_Join_4,Wed Mar 12 00:36:21 -0700 2025,Wed Mar 12 00:36:21 -0700 2025,Wed Mar 12 00:36:35 -0700 2025,14.0
application_1741747991273_0012,Test5MB_Aggregate_32,Wed Mar 12 00:35:05 -0700 2025,Wed Mar 12 00:35:05 -0700 2025,Wed Mar 12 00:35:19 -0700 2025,14.0
application_1741747991273_0011,Test5MB_Aggregate_16,Wed Mar 12 00:33:57 -0700 2025,Wed Mar 12 00:33:57 -0700 2025,Wed Mar 12 00:34:12 -0700 2025,15.0
application_1741747991273_0010,Test5MB_Aggregate_4,Wed Mar 12 00:32:31 -0700 2025,Wed Mar 12 00:32:31 -0700 2025,Wed Mar 12 00:32:46 -0700 2025,15.0
application_1741747991273_0009,Test5MB_Window,Wed Mar 12 00:31:16 -0700 2025,Wed Mar 12 00:31:16 -0700 2025,Wed Mar 12 00:31:34 -0700 2025,18.0
application_1741747991273_0007,Test5MB_Join,Wed Mar 12 00:29:12 -0700 2025,Wed Mar 12 00:29:13 -0700 2025,Wed Mar 12 00:29:29 -0700 2025,17.0
application_1741747991273_0006,Test5MB_Aggregate,Wed Mar 12 00:27:30 -0700 2025,Wed Mar 12 00:27:30 -0700 2025,Wed Mar 12 00:27:48 -0700 2025,18.0
application_1741747991273_0005,Test5MB_Join,Wed Mar 12 00:21:08 -0700 2025,Wed Mar 12 00:21:08 -0700 2025,Wed Mar 12 00:21:26 -0700 2025,18.0
application_1741747991273_0004,Test5MB_Aggregate,Wed Mar 12 00:20:01 -0700 2025,Wed Mar 12 00:20:01 -0700 2025,Wed Mar 12 00:20:20 -0700 2025,19.0
application_1741747991273_0003,ExplicitSchemaCSV500MB,Tue Mar 11 23:38:54 -0700 2025,Tue Mar 11 23:38:54 -0700 2025,Tue Mar 11 23:39:29 -0700 2025,35.0
application_1741747991273_0002,ExplicitSchemaCSV50MB,Tue Mar 11 23:38:13 -0700 2025,Tue Mar 11 23:38:13 -0700 2025,Tue Mar 11 23:38:33 -0700 2025,20.0
application_1741747991273_0001,ExplicitSchemaCSV5MB,Tue Mar 11 23:36:00 -0700 2025,Tue Mar 11 23:36:01 -0700 2025,Tue Mar 11 23:36:26 -0700 2025,26.0
